,Tweets
38,"Toni Morrison was a national treasure, as good a storyteller, as captivating, in person as she was on the page. Her writing was a beautiful, meaningful challenge to our conscience and our moral imagination. What a gift to breathe the same air as her, if only for a while. "
39,"Until all of us stand up and insist on holding public officials accountable for changing our gun laws, these tragedies will keep happening: "
41,"The families of our wounded warriors don't often get a lot of fanfare, but they're serving and sacrificing right alongside their loved ones. We all owe a debt to them, too, and Fisher House is always making sure we're serving those who serve us. "
42,Recent court decisions make it clear that the change we need to restore our democracy has to come from the ground up. @Allontheline’s work to ensure an accurate census count and achieve fair maps in 2021 has never been more important. Join us today:  
43,"Here’s a worthwhile Sunday read: “…nothing should temper partisanship more than an awareness that somewhere, on some issue, people with whom you disagree are telling a story that you really need to hear.” "
44,"I’ve always been proud of what this team accomplished during my administration. But more than what we did, I’m proud of how they’re continuing to fight for an America that’s better. "
45,"RT @ObamaFoundation: Leaders: Africa may have ended, but 200 inspiring #ObamaLeaders returned to their homes with the new connections and f…"
46,"Economist Raj Chetty is not only identifying the decline in opportunity we’ve seen in recent decades—but trying to reverse it. Inequality, like many problems we face, is as vast as it is complex. But this article left me a little more hopeful: "
47,Here are a couple of articles backed by new research that are worth taking a look at: A new study on the Medicaid expansion my administration fought for under the Affordable Care Act—and how these policy decisions affect lives in real terms: 
48,"In America, we don’t fear the future, we embrace it. 50 years ago, that spirit took us to the moon. Today, it’s embodied by people like Tiffany Davis. She’s a young rocket scientist who is helping us explore the next frontier, wherever that might take us. "
49,RT @MichelleObama: What truly makes our country great is its diversity. I’ve seen that beauty in so many ways over the years. Whether we ar…
50,"#MandelaDay reminds us that when things feel dark, confusing, or impossible—take a look back at his writings. There, we see how a belief in the dignity of every person can be made real, an unwavering hope to steel us along our own long walks toward something better. "
51,"I have a good feeling about these Chicago @UrbanAlliance interns. Thanks for letting me spend yesterday afternoon with you—you’re going to go on to do incredible things and make many people proud. In fact, you already have. "
52,"The @ObamaFoundation is helping a new generation of leaders make their mark, and there’s an extraordinary group gathering this week for Obama Leaders: Africa. Their work will help unlock the incredible promise of the continent—and make the world better for all of us. "
53,Proud to rep America’s best team! Congrats @USWNT and thanks for being such a strong inspiration for women and girls—and everybody—all across the country. 
54,"Yes! Fourth star. Back to back. Congrats to the record breakers on the @USWNT, an incredible team that’s always pushing themselves—and the rest of us—to be even better. Love this team. #OneNationOneTeam"
55,"RT @MichelleObama: Good luck to the @USWNT! You all are some of the most fearless, powerful, awe-inspiring athletes I’ve ever seen—and toge…"
56,"Happy Fourth of July, everybody! This is always a great day in the Obama family: a chance to celebrate America—and Malia’s birthday, too. Hope all of you are able to get some time with friends, family, and fireworks. "
57,"I’m admittedly biased, but this article gibes with my experience about what all of us might take away from the “aloha spirit.” "
58,Congrats to the USWNT! A great performance from a great team—looking forward to Sunday. #OneNationOneTeam
59,No one changes the world alone. That’s why the @ObamaFoundation is connecting emerging leaders from South Africa to Singapore to the South Side of Chicago—so they can change the world together. Read my reflection on our second year: 
60,"The most important job in our democracy is citizen. If you’re tired of politicians manipulating maps and ignoring the will of voters, I hope you’ll sign @allontheline’s Citizen Commitment today: "
61,"50 years ago, history was written at the Stonewall Inn when New York's LGBT community stood up, spoke out, and started a movement. In 2016 I was proud to designate it as a national monument—a reminder the arc of our history is an arc of progress as long as we keep pushing for it. "
62,What a gift to come across this interview with Julia “Hurricane” Hawkins. I’m as grateful for her life advice as I am impressed by her 100-meter dash time. 
63,"Now we’re talking! Congrats to Team USA for moving on, and thanks for continuing to make us all proud. #USA "
64,"On Juneteenth, we celebrate our capacity to make real the promise of our founding, that thing inside each of us that says America is not yet finished, that compels all of us to fight for justice and equality until this country we love more closely aligns with our highest ideals. "
65,"Outside the Oval Office, I kept a painting of a small crowd huddled around a pocketwatch, waiting for the moment the Emancipation Proclamation took effect. On Juneteenth, we celebrate the anniversary of that news - freedom - reaching slaves in Texas. And something more: "
66,"This is worth a read: a thought-provoking reminder that education reform isn’t a cure-all. As a supporter of education reform, I agree that fixing educational inequality requires doing more to address the broader, systemic sources of economic inequality. "
67,"Yes we can, Greta. I’m hopeful because of you and all the young people who are fighting to protect the planet. Keep at it. "
68,"Happy Father’s Day to Charles, one of our @ObamaFoundation Fellows, and all the dads at Fathers’ Uplift. Today, we’re celebrating fathers like these who provide a powerful example—not only for their kids, but for the rest of us, too. "
69,RT @ObamaFoundation: These young people want to take action and make a change. Through the #CommunityLeadership Corps in Chicago and Hartfo…
70,"The @USWNT is something to smile about. It was great to celebrate with them back in 2015 and I'm excited to root them on in their drive to earn their fourth star. Best of luck to these champions for equality, on and off the field. #OneNationOneTeam "
71,"Six years ago, David Ortiz's spirit and resolve helped us all begin to heal from the Boston Marathon bombing. Today, I want to join many others in wishing him a speedy recovery of his own. Get well soon, Papi. "
72,"Last week, it was Virginia Beach. But day after day and year after year, too many families and communities are shattered by senseless gun violence. We can't get numb to this. On National Gun Violence Awareness Day, pledge to speak out, #WearOrange — and vote — to protect lives."
73,"RT @ObamaFoundation: Courage is contagious. Watch some of the courageous students who won our first-ever Civic Action Recognition Awards, h…"
74,"You've got a lot to be proud of, Jiwandeep. Thanks for everything you do to make this country a little more equal. Turban looks great, by the way. Happy Pride Month, everybody! "
75,What a life. American history has always been driven by visionaries like Leah Chase—and all the men and women who worked and ate at Dooky Chase’s over the years—folks who serve up progress one bowl of gumbo at a time.  
76,"A story worth sharing: Twelve years ago, Brian joined my first presidential campaign. Two years ago, he was diagnosed with ALS and launched @iamalsorg to find a cure. Brian and Sandra wake up every day believing that we can win this fight—and that makes me hopeful, too. "
77,"Exciting to see the faces of Colombia's future at an @ObamaFoundation roundtable with young leaders in Bogotá. Their creativity, their compassion, and their drive to improve their country are promising signs of what's to come. "
78,"On Memorial Day, we remember all those who gave everything for something greater than themselves. It's up to us to not simply reflect on their sacrifice but to honor it with service of our own—and by living out the values they fought for. "
79,Great to get out there and take a few cuts at the plate yesterday—I had a blast with all these extraordinary young people. Thanks for letting me drop in and thanks to the Nationals Youth Academy for the outstanding work you do to support youth in DC. 
80,"RT @ObamaFoundation: Congratulations on the inauguration of @ChicagosMayor Lori Lightfoot, Treasurer Melissa Conyears-Ervin, @ChiCityClerk…"
81,"Here’s a great story: While we’ve still got a lot of work to do to make college affordable for everyone, that didn’t stop Robert F. Smith from seizing an opportunity to make a difference. He’s erasing the student loan debt for this year’s @Morehouse grads. "
82,"Happy Mother's Day to the most caring, brilliant, funny, and grounded woman I know—a perfect role model not just for our daughters, but so many others. Love you, @MichelleObama. "
83,"As part of the @ObamaFoundation, moms like Dr. Mwansa Ketty Lubeya are answering the call for change—and raising the next generation of leaders while they’re at it. "
84,"RT @MichelleObama: Congratulations, Meghan and Harry! Barack and I are so thrilled for both of you and can't wait to meet him. #RoyalBaby h…"
85,"Happy #CollegeSigningDay, everybody! I'm proud of every student out there who's taking the next step in their education. It's the best thing you can do for yourself and your future. "
86,"Condolences to the family of John Singleton. His seminal work, Boyz n the Hood, remains one of the most searing, loving portrayals of the challenges facing inner-city youth. He opened doors for filmmakers of color to tell powerful stories that have been too often ignored."
87,"Congratulations to the new class of @ObamaFoundation Fellows! Their work in every region of the globe is already making the world better, and I hope this experience helps them make an even bigger impact.  "
88,"For thirty-six years, Richard Lugar proved that pragmatism and decency work—not only in Washington but all over the world. Michelle and I send our warmest sympathies to his family and all those who had the privilege of knowing this American statesman. "
89,Dominique’s story is a reminder to us that where you’re from shouldn’t define what you can achieve. I’m proud of her and all students striving for a better future. 
90,"This generation of climate activists is tired of inaction, and they've caught the attention of leaders all over the world. So while this challenge is only getting more urgent, they show us the kind of action it'll take to meet this moment."
91,"And in the U.S., 13-year old @AlexandriaV2005 of New York, 13-year old @havenruthie of Denver, and 16-year old @israhirsi of Minneapolis are some of the young people leading the fight at home. I hope more of us will follow their example. "
92,"I met 23-year-old @luisamneubauer in Berlin earlier this month. Luisa, the organizer behind the student movement in Germany, says, “It’s our future and we’re not going to stop fighting for it.” "
93,"They're people like 16-year-old @GretaThunberg, whose protests at Swedish parliament sparked a movement. Inspired by Greta's action, Fridays for Future brought together more than a million strikers on every continent last month to demand action on climate. "
94,"Young people all over the world are leading the way in the fight to protect our planet because they know their future depends on it. This Earth Day, I want to celebrate the courageous, committed young leaders who are stepping up to save the one planet we've got."
95,"To all who celebrate today, happy Easter from our family to yours! On this day of rebirth and renewal, let’s recommit to love and serve our brothers and sisters, especially those in need, in every way we can. Have a great day, everybody. "
96,"The attacks on tourists and Easter worshippers in Sri Lanka are an attack on humanity. On a day devoted to love, redemption, and renewal, we pray for the victims and stand with the people of Sri Lanka."
97,"Notre Dame is one of the world’s great treasures, and we’re thinking of the people of France in your time of grief. It’s in our nature to mourn when we see history lost – but it’s also in our nature to rebuild for tomorrow, as strong as we can. "
98,"Congratulations, Tiger! To come back and win the Masters after all the highs and lows is a testament to excellence, grit, and determination."
99,"Another good story worth sharing: From one ""kid from Akron"" to a new generation of Akron kids, some remarkable early achievements at @IPROMISESchool. Great work, @KingJames—and even better work by those students. Proud to be a witness to their success: "
100,"From a big NBA fan, congrats to future Hall of Famers Dwyane Wade and Dirk Nowitzki—not just all-time greats but class acts, too."
101,"In just a few minutes, I’m taking the stage at the @ObamaFoundation Town Hall Europe for a conversation about how to best support civic leaders carrying out good work across the continent. I hope you’ll tune in live at  "
102,A voice everybody should hear. 
103,Here’s a story about people doing good that's worth sharing: @BradPaisley and his wife @Kimwilliamspais saw food insecurity in Nashville and decided to do something about it. They just broke ground on a free grocery store to help families in need: 
104,"Great to see Chicago’s historic mayoral race between two highly qualified candidates. Congrats to our next mayor, Lori Lightfoot—and Toni Preckwinkle campaigned hard and did us proud. I know that with our city’s heart and Lori’s leadership, Chicago’s best days are still ahead."
105,"Valerie is one of my oldest friends and advisors – she was by my side when I first decided to run for office and for every major moment of the presidency. @ValerieJarrett's voice has often inspired me and I know “Finding My Voice” will inspire others to lift their voices, too. "
106,"Last night I had the chance to meet with first-term Democrats in Congress—it's a young, diverse class, stocked with a bunch of my campaign and administration alums who’ve taken the torch. This group is going to be driving progress for a long time to come. "
107,"Just in the nick of time: My brackets have never been my one shining moment, but here we go again. You can check out my #MarchMadness picks here:  "
108,"And here are some ways to help cyclone victims in Mozambique, Malawi, and Zimbabwe: "
109,The floods in the Midwest and in southern Africa are heartbreaking. Suffering and loss on two sides of the world calls for solidarity and strength from all of us. Ask what you can do to help our fellow Americans and families in need. Here are some ideas: 
110,"In 2011, I visited the tiny town of Moneygall and got to walk around in the house where my great-great-great grandfather Falmouth Kearney lived his early life. I'll always be grateful for the warmth and generosity of the Irish people. Happy St. Patrick's Day! -Barack O’Bama "
111,Michelle and I send our condolences to the people of New Zealand. We grieve with you and the Muslim community. All of us must stand against hatred in all its forms.
112,.@MichelleObama and I are rooting hard for Team USA as the Special Olympics World Games get underway this week. Our Special Olympians are terrific examples of America’s heart and drive.
113,"What a great moment. Happy 110th, Virginia. "
114,Michelle and I send our deepest sympathies to all who knew the victims of today’s plane crash in Ethiopia.
115,"The Crew Dragon’s been on quite a ride since I last saw it—congrats to @NASA and @SpaceX on a successful return! We invested in the @Commercial_Crew program to strengthen the U.S. space program for the long haul, and it’s great to see that happening. "
116,"Preethi, Alice, and Sefora are just three of many @ObamaFoundation leaders who remind us what International Women’s Day is all about: imagining a world free of artificial ceilings for the next generation—and doing the hard work to get us there."
117,"And @SeforaKodjo is helping the next generation of women leaders in Africa rise up. Her organization is training and mentoring young women across the continent to adopt a new model of leadership, one that puts gender equality at the heart of economic development. "
118,".@BarbeAlice is helping refugees resettle into welcoming communities in France, offering them job training and language immersion, as well as a place to stay. More importantly, she’s fighting a narrative that suggests our differences are more important than our shared humanity. "
119,".@preethiherman is helping women unleash their power to change their societies. As head of the  Foundation, she’s leading an initiative that combines online tools with in-person organizing, giving women a voice in her native India—and beyond. "
120,"On International Women’s Day, I’m reflecting on the future we all want for our daughters: one where they can live out their aspirations without limits. And I’m celebrating some of the women who are building that future for all of us today."
121,It’s up to all of us as citizens to make sure that the rules of democracy are fair—everywhere—because the next decade of our nation's progress is on the line. Join me and @allontheline in the fight against gerrymandering:  
122,Zion Williamson seems like an outstanding young man as well as an outstanding basketball player. Wishing him a speedy recovery.
123,I’m about to join @StephenCurry30 on stage with @MBK_Alliance to answer questions from boys and young men of color about the challenges that confront them and the opportunities within their grasp. Tune in at 
124,"RT @ObamaFoundation: Ahead of #MBKRising and in honor of Black History Month, @BarackObama shared a nonfiction reading list that can help t…"
125,"I’ve always loved basketball because it’s about building a team that’s equal to more than the sum of its parts. Glad to see this expansion into Africa because for a rising continent, this can be about a lot more than what happens on the court. "
126,"Happy Valentine’s Day to the extraordinarily smart, beautiful, funny, one and only @MichelleObama. It’s true; she does get down to Motown. "
127,"In the year since their friends were killed, the students of Parkland refused to settle for the way things are and marched, organized, and pushed for the way things should be - helping pass meaningful new gun violence laws in states across the country. I'm proud of all of them."
128,"Don’t be sad it’s over, be proud it taught us so much. Congrats to all the men and women of @NASA on a @MarsRovers mission that beat all expectations, inspired a new generation of Americans, and demands we keep investing in science that pushes the boundaries of human knowledge."
129,"Happy 85th birthday to @RealBillRussell - the greatest champion in American sports, and a lifelong warrior for justice."
130,RT @MichelleObama: A big part of friendship is showing up for your girls—that’s why I was thrilled to be there for the one and only @alicia…
131,My statement on the passing of former Congressman John Dingell: 
132,"We lost two great Americans today – Frank Robinson and John Dingell – citizens who inspired me and so many others by leading on the civil rights issues of our time, opening doors to others, and leaving it all on the field."
133,"As we celebrate Black History Month and Jackie Robinson’s 100th birthday, we celebrate the life of all whose courage opened the gates for everybody, and in the process, made America better. "
134,The @ObamaFoundation is connecting people from around the world so they can form partnerships just like this. I am inspired by Robert and Vanessa and what’s possible when leaders come together to have an even greater impact on the world. 
135,"I’ve always drawn inspiration from what Dr. King called life’s most persistent and urgent question: ""What are you doing for others?"" Let’s honor his legacy by standing up for what is right in our communities and taking steps to make a positive impact on the world."
136,RT @MBK_Alliance: President Obama challenged us to improve our communities in 2019—and mentorship is a concrete action we can take. With @M…
137,"I knew it way back then and I’m absolutely convinced of it today — you’re one of a kind, @MichelleObama. Happy Birthday! "
138,"In 2018 people stepped up and showed up like never before. Keep it up in 2019. We’ve got a lot of work to do, and I’ll be right there with you. Happy New Year, everybody!"
139,"I hope you find inspiration in the stories of Dejah, Moussa, Sandor, Hong and Jonny. Their journeys began with a decision to build the better future they wanted to see. The same is true for you. What matters isn’t the size of the step you take; what matters is that you take it."
140,"Leaders like Jonny Boucher, a Chicago native who, after losing too many friends and family to suicide, started a coffee shop to offer emotional support and guidance to those who might be in need of a little more than a strong cup of coffee to get through their day. "
141,"Leaders like Hong Hoang, who mobilized a youth-led movement to create a greener world after becoming the first Vietnamese person to visit Antarctica. "
142,"Leaders like Moussa Kondo and Sandor Lederer, who are each doing their part to fight corruption in their native countries of Mali and Hungary. Two people separated by continents but united in their pursuit of a more just, transparent society. "
143,"Leaders like Dejah Powell, who started an organization to bring health and wellness resources to communities on the South Side of Chicago, expanding food access and providing people the space and time to take care of themselves. "
144,"As the year winds down and we look toward 2019, I’m asking you to make a commitment: find something you want to change in your community and take the first step toward changing it. If you need some inspiration, take a look at some of the young leaders who inspired me this year."
145,"As 2018 draws to a close, I’m continuing the tradition of sharing my year-end lists. It gives me a moment to reflect on the year through the books, movies, and music that I found most thought-provoking, inspiring, or just plain loved. I hope you enjoy it: "
146,Enjoy the holiday season with the ones you love. Michelle and I wish you a very Merry Christmas! 
147,"There’s no better time than the holidays to give back to your community. Yesterday I got to do just that at @ChildrensHealth. As we celebrate the season and look forward to 2019, let’s recommit to doing our part to build a world that is a little more generous, tolerant, and kind. "
148,"Merry Christmas and happy holidays to the extraordinary kids, families, and staff at Children’s National. And thanks for humoring me as your stand-in Santa. "
149,Today is the last day of open enrollment. That means it’s the deadline to make sure you and the people you love have health insurance in 2019. So head over to  to get covered! Here’s what else you need to know today about health care: 
150,"Joe is right. Head to  before tomorrow’s deadline. And nice bracelet, by the way. "
151,"As Bobby Kennedy taught us, the thing about hope is that it travels through space *and* time, first splashing against the rocks, but eventually breaking down the walls of cruelty and injustice. And if we do our best with the time we’re given, others will take hope in our example. "
152,"RT @ObamaFoundation: The Cares Family reaches across generational divides to reduce loneliness in the U.K. Hear more from Alex Smith, found…"
153,"No jump shots. No ferns. No memes. Not this time. I’m going to give it to you straight: If you need health insurance for 2019, the deadline to get covered is December 15. Go to  today and pass this on — you just might save a life. "
154,RT @GetUSCovered: Just ONE WEEK LEFT to #GetCovered for 2019. Most folks can find coverage for $75 or less per month.  Head over to 
155,"Happy Hanukkah! Over these eight nights, we draw inspiration from light that can overpower any darkness, and recommit ourselves to building a brighter future for our families, our communities, and our world. Chag Sameach from the Obama family to yours."
156,"America has lost a patriot and humble servant in George Herbert Walker Bush. While our hearts are heavy today, they are also filled with gratitude. Our thoughts are with the entire Bush family tonight – and all who were inspired by George and Barbara’s example. "
157,"I am grateful for the next generation of leaders -- the young people who are tolerant, creative, idealistic and doing the work to create the world as it should be. Who understand that hope requires action. From the Obama family to yours, Happy Thanksgiving. "
158,"Thanks to the Chicago @FoodDepository team for all you do and to the volunteers who are doing great work and let me crash today. Happy Thanksgiving, everybody! "
159,RT @ObamaFoundation: The Obama Presidential Center represents a historic opportunity to build a world-class museum and public gathering spa…
160,"When someone shares their story, we see the world through their eyes. I’m looking forward to hearing a few from leaders around the world and sharing my own at the @ObamaFoundation Summit in Chicago. Tune in at  "
161,"Our future depends on all our young people, including our boys and young men of color, being able to achieve their dreams. Today, I’m proud to share @MBK_Alliance’s first investments in communities devoted to this mission. Get inspired: "
162,"Of course, @MichelleObama’s my wife, so I’m a little biased here. But she also happens to be brilliant, funny, wise – one of a kind. This book tells her quintessentially American story. I love it because it faithfully reflects the woman I have loved for so long. "
163,"Michelle and I are heartbroken for everybody who’s lost so much in California, and grateful for the heroism of the firefighters who’ve been risking their lives around the clock to save others. Please do what you can to help our fellow Americans in need: "
164,"To all our veterans and your families: thank you. There's no tribute that can truly match the magnitude of your service and sacrifice. But all of us can do our best to live up to the American values of service, responsibility, generosity, and citizenship that you helped defend."
165,"Congratulations to everybody who showed up and participated in our democracy in record numbers yesterday. The change we need won’t come from one election alone – but it is a start. Last night, voters across the country started it. "
166,"Today is the day. Today, it’s your turn to raise your voice to change the course of this country for the better. So make it count. Get out there and vote. Go to  or call 833-336-VOTE to confirm where you can vote and check voting hours. "
167,"If you take that power and vote, something powerful happens. Change happens. Hope happens. And with each new step we take in the direction of fairness, and justice, and equality, and opportunity, hope spreads. Go vote! "
168,"When you vote, you have the power to make it easier for a student to afford college, and harder for a disturbed person to shoot up a classroom. When you vote, you have the power to make sure a family keeps its health insurance."
169,"When you vote, you have the power to protect voting rights. To make sure our criminal justice system treats everyone equally under the law. To strengthen laws that protect women in the workplace from harassment – and make sure they’re paid equally."
170,"When we've been at such crossroads before, Americans have made the right choice. Not because we sat back and waited for history to happen -- but because we marched, and mobilized, and voted. We made history happen."
171,Tomorrow’s elections might be the most important of our lifetimes. The health care of millions is on the ballot. Making sure working families get a fair shake is on the ballot. The character of our country is on the ballot.
172,"Speaking of preexisting conditions, open enrollment starts today. If you or someone you know needs health care, visit  Thanks to financial help, most people can find plans for $75/month or less, so check out your options and find a plan that works for you. "
173,"Elections matter. You have the power to protect a family’s health care. Make a plan, grab some friends, and vote: "
174,"While we're talking about preexisting conditions, the ACA is the law that finally protected your coverage for preexisting conditions.  Those protections and your health care are absolutely at stake on Tuesday. Vote for Democrats who’ll protect them. "
175,"Not sure who and what you can vote for? Head over to  to look up your state, learn who's running to represent you, which measures you can help decide, and more. Read up, and get ready to vote on November 6."
176,"Your vote can decide the health care of millions. Your voice can determine the character of our country. You have power — use it! In most states, you don't even have to wait until Election Day to cast a ballot. Find out where you can vote before Nov. 6:  "
177,"We grieve for the Americans murdered in Pittsburgh. All of us have to fight the rise of anti-Semitism and hateful rhetoric against those who look, love, or pray differently. And we have to stop making it so easy for those who want to harm the innocent to get their hands on a gun."
178,"The last presidential election turned on fewer than 100,000 votes in three states. More people go to Coachella. There’s no good excuse not to vote. Head over to  to check your registration, get your absentee ballot, and find out where to vote on November 6. "
179,America is always at our best when we look out for each other. Please do what you can to help people recover and rebuild from Hurricane Michael. 
180,"I’m so proud of the work @MichelleObama has done over the years to ensure adolescent girls have access to education, and I know that the @GirlsAlliance will be another great chapter in her effort to get girls the opportunities they deserve. "
181,Congratulations to Drew Brees on the all time passing record. Always a class act.
182,"Happy Anniversary, @MichelleObama. For 26 years, you’ve been an extraordinary partner, someone who can always make me laugh, and my favorite person to see the world with. "
183,"Today, I’m proud to endorse even more Democratic candidates who aren’t just running against something, but for something—to expand opportunity for all of us and to restore dignity, honor, and compassion to public service. They deserve your vote: "
184,"From civil servants to organizers, the young people I met in Amsterdam today are doing the hard work of change. And they keep at it for their communities, their countries, and the collective future of Europe and the world. Keep up the good work. "
185,"The antidote to government by a powerful few is government by the organized, energized many. This National Voter Registration Day, make sure you're registered, vote early if you can, or show up on November 6. This moment is too important to sit out."
186,"The first class of Obama Fellows is full of leaders like Keith—hardworking, innovative, and dedicated to partnering with their communities to drive transformational change. "
187,"We will always remember everyone we lost on 9/11, thank the first responders who keep us safe, and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can’t overcome, and no act of terror can ever change who we are."
188,"RT @nowthisnews: If you still don't think the midterms will affect you, @BarackObama is back to spell out just how important they are "
189,"Today I’m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote, because our democracy depends on it. I hope you'll tune in at 11am CT: "
190,Yesterday I met with high school students on Chicago’s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we’re proud of these young people. 
191,Congratulations to Hawaii for winning the Little League World Series! You make America very proud. 🤙🏾 
192,Our statement on the passing of Senator John McCain: 
